OfferID,Title,Slug,Area,Rooms,Date,Location,Price,Currency
7707216,Dorobanti/Floreasca/strada Tudor Stefan,dorobanti-floreasca-strada-tudor-stefan-IDvkZV,100.0,THREE,2023-09-23 11:49:13,Floreasca| Sectorul 1| Bucuresti,1200,EUR
7977519,Apartament 2 camere de inchiriat Prelungirea Ghencea,apartament-2-camere-de-inchiriat-prelungirea-ghencea-IDxtjF,55.0,TWO,2023-09-23 11:43:55,Ghencea| Sectorul 5| Bucuresti,350,EUR
7977508,Inchiriez apartament 2 Camere Piata Muncii,inchiriez-apartament-2-camere-piata-muncii-IDxtju,58.0,TWO,2023-09-23 11:38:51,Cismigiu| Sectorul 1| Bucuresti,650,EUR
7977505,Costin Georgian metrou - Mutare Imediata - Prima Inchiriere,costin-georgian-metrou-mutare-imediata-prima-inchiriere-IDxtjr,33.0,ONE,2023-09-23 11:36:37,Titan| Sectorul 3| Bucuresti,300,EUR
7977502,inchiriez garsoniera in zona Drumul Taberei - Tricodava,inchiriez-garsoniera-in-zona-drumul-taberei-tricodava-IDxtjo,34.0,ONE,2023-09-23 11:33:55,Drumul Taberei| Sectorul 6| Bucuresti,200,EUR
7964606,Închiriez Apartament cu 2 camere in Palady,nchiriez-apartament-cu-2-camere-in-palady-IDxpXo,56.0,TWO,2023-09-23 11:27:52,Theodor Pallady| Sectorul 3| Bucuresti,400,EUR
7877347,Inchiriere Garsoniera Pallady |Metrou| |1 Decembrie|Parcare|Centrală,inchiriere-garsoniera-pallady-metrou-1-decembrie-parcare-central-IDx3fZ,42.0,TWO,2023-09-23 11:15:28,Ozana| Sectorul 3| Bucuresti,399,EUR
7977466,Inchiriere Apartament 3 camere Turda Mihalache decomandat renovat,inchiriere-apartament-3-camere-turda-mihalache-decomandat-renovat-IDxtiO,75.0,THREE,2023-09-23 11:14:50,Damaroaia| Sectorul 1| Bucuresti,620,EUR
7977458,Apartament 2 camere Ferdinand/Obor/Piata Iancului/,apartament-2-camere-ferdinand-obor-piata-iancului-IDxtiG,68.0,TWO,2023-09-23 11:12:23,Iancului| Sectorul 2| Bucuresti,700,EUR
7977457,Apartament 3 camere Bazilescu,apartament-3-camere-bazilescu-IDxtiF,75.0,THREE,2023-09-23 11:12:02,Bucurestii Noi| Sectorul 1| Bucuresti,750,EUR
7976946,Inchiriere apartament 3 camere Calea Calarasilor,inchiriere-apartament-3-camere-calea-calarasilor-IDxtaq,79.0,THREE,2023-09-23 11:10:40,Decebal| Sectorul 3| Bucuresti,620,EUR
7977445,Închiriez Apartament Piața Muncii,nchiriez-apartament-piaa-muncii-IDxtit,64.0,TWO,2023-09-23 11:06:44,Decebal| Sectorul 3| Bucuresti,500,EUR
7964462,Închiriez Garsonieră in zona Matei Basarab Hyperion,nchiriez-garsonier-in-zona-matei-basarab-hyperion-IDxpW4,42.0,ONE,2023-09-23 11:01:44,Centrul Civic| Sectorul 3| Bucuresti,375,EUR
7977437,Inchiriez garsoniera moghioros park residence Drumul Taberei,inchiriez-garsoniera-moghioros-park-residence-drumul-taberei-IDxtil,38.0,ONE,2023-09-23 11:00:01,Cismigiu| Sectorul 1| Bucuresti,420,EUR
7977432,Garsonieră 32mp Militari Avangarde City,garsonier-32mp-militari-avangarde-city-IDxtig,32.0,ONE,2023-09-23 10:56:07,Militari| Sectorul 6| Bucuresti,300,EUR
7977429,"AP. 2 CAMERE ASMITA GARDEN, BUCATARIE INCHISA, TERASA, PARCARE INCLUSA",ap-2-camere-asmita-garden-bucatarie-inchisa-terasa-parcare-inclusa-IDxtid,71.0,TWO,2023-09-23 10:55:03,Tineretului| Sectorul 4| Bucuresti,570,EUR
7977422,"Apartament la prima inchiriere, mobilat si utilat lux.",apartament-la-prima-inchiriere-mobilat-si-utilat-lux-IDxti6,91.32,THREE,2023-09-23 10:50:40,IMGB| Sectorul 4| Bucuresti,800,EUR
7977416,inchiriez apartament Calea Grivitei -Turda,inchiriez-apartament-calea-grivitei-turda-IDxti0,43.0,TWO,2023-09-23 10:48:30,Grivita| Sectorul 1| Bucuresti,330,EUR
7977397,Garsonieră de închiriat in Tineretului sec.4,garsonier-de-nchiriat-in-tineretului-sec-4-IDxthH,32.0,ONE,2023-09-23 10:34:13,Tineretului| Sectorul 4| Bucuresti,400,EUR
